%time,field.header.seq,field.header.stamp,field.pose.pose.position.x,field.pose.pose.position.y,field.pose.pose.position.z,field.pose.pose.orientation.x,field.pose.pose.orientation.y,field.pose.pose.orientation.z,field.pose.pose.orientation.w,field.twist.twist.linear.x,field.twist.twist.linear.y,field.twist.twist.linear.z,field.twist.twist.angular.x,field.twist.twist.angular.y,field.twist.twist.angular.z
1624165694687980413,0,1624165694687980413,-0.0035776328095250627,-0.0032252001161213605,-0.00031093544696959255,-2.360377635669218e-05,-3.75603444460423e-05,0.00019181287621546786,0.9999999806199507,-0.0013787254803784774,-0.0022698691782337675,-0.00151530274444402,0.0,0.0,0.0
1624165694788042068,1,1624165694788042068,-0.004910804672045501,-0.0007536290393568278,-0.0002005500846194873,-5.71827330237579e-05,-3.441489615203862e-05,0.0002775699453844308,0.9999999592503355,-0.01304067568507865,0.02826363992444868,0.0023766270137685515,0.0,0.0,0.0
1624165694887830257,2,1624165694887830257,-0.005078763627459,-0.00018755309696240254,0.00031540255266452184,-5.153079039692064e-05,-2.2923260411417308e-05,0.0002762065894630406,0.9999999602645081,-0.005183122215655688,0.016175868725984754,0.005031722624656756,0.0,0.0,0.0
1624165694988012791,3,1624165694988012791,-0.004473330808210558,-0.0006870274329658047,0.00015455957003997,-4.9991915444378054e-05,-3.1373088064980295e-05,0.00034772353011835284,0.9999999378024378,0.0006924400472620093,0.006145917130160631,0.0006111226709041178,0.0,0.0,0.0
1624165695087775469,4,1624165695087775469,-0.004736255297739993,-0.0024218977793566175,0.0002259331665115225,-3.2661500459275784e-05,-3.145009382160545e-05,8.231745479366016e-05,0.9999999955839749,-0.0014108877905554718,-0.005074053569028861,0.00126198675521058,0.0,0.0,0.0
1624165695187945604,5,1624165695187945604,-0.0066275357239635605,-0.0030735834812117696,0.00021017150831118022,-4.16456141381361e-05,-2.767780227912788e-05,0.0002694198471078025,0.9999999624562609,-0.011467620331422079,-0.006191579398874721,9.026451800640199e-05,0.0,0.0,0.0
1624165695287742376,6,1624165695287742376,-0.0068060472196670024,-0.0022778123471126122,0.00015215948705097227,-4.459484899245294e-05,-2.761426459419536e-05,0.0001622281769574752,0.9999999854653822,-0.006694940673072966,0.0017718813591290454,-5.357441684944865e-05,0.0,0.0,0.0
1624165695387949944,7,1624165695387949944,-0.005733644242052489,-0.0007362795797688685,-4.2062615740048905e-05,-4.783198604248183e-05,-3.730427785987133e-05,0.0001215618164854453,0.999999990771606,0.0028034338368118743,0.010033654167464916,-0.0006538985419649726,0.0,0.0,0.0
1624165695487762213,8,1624165695487762213,-0.005577005139647265,-0.0007332575681062896,-1.2538914339145175e-06,-4.291711881285594e-05,-3.6212037732119056e-05,0.00022911362836514326,0.9999999721768743,0.002999122932162665,0.006248281538942943,0.0008592580674228145,0.0,0.0,0.0
1624165695587923288,9,1624165695587923288,-0.004805121840698491,-0.0008660476619708576,0.00015707364938569897,-4.405048294905586e-05,-4.342444371418249e-05,0.00022359532059834994,0.9999999730894995,0.006011290077369247,0.003429853657761134,0.002103646216502272,0.0,0.0,0.0
1624165695687779903,10,1624165695687779903,-0.0033773317355336725,-0.0012444206947488032,0.000163057737497527,-4.213184824175442e-05,-2.9636870208960208e-05,0.0002427935300866539,0.9999999691989294,0.01039000111784794,0.0020878376562037584,0.0006849858673668177,0.0,0.0,0.0
1624165695787820816,11,1624165695787820816,-0.00591952866106194,0.0004921353670585173,-0.00012955200522322797,-5.416809890424735e-05,-2.415677212217073e-05,0.00030501093374793095,0.999999951725295,-0.00689122102428349,0.009709362623925476,-0.001225917090477372,0.0,0.0,0.0
1624165695887826681,12,1624165695887826681,-0.008133278543813153,0.00019663012428696057,-9.717264644016021e-05,-4.631025320450509e-05,-4.414476456537671e-05,0.0002189071351552847,0.9999999739931297,-0.015019888536551469,0.004379877290945131,0.00022112304089505377,0.0,0.0,0.0
1624165695987984419,13,1624165695987984419,-0.007672922994578995,-0.0002287719264249681,-6.703952608183111e-06,-4.741588666786876e-05,-4.195044430473886e-05,0.0001996474387356374,0.999999978066394,-0.005690670450422807,0.0018482299748974974,0.0023814653770184873,0.0,0.0,0.0
1624165696087959290,14,1624165696087959290,-0.007227809640721674,0.0007536078866714496,9.703807644978535e-05,-4.351727196922193e-05,-4.3241064269181877e-05,0.000303053424963256,0.9999999521975355,-0.00040604399402963554,0.005992643350352268,0.0016486019481137724,0.0,0.0,0.0
1624165696187725782,15,1624165696187725782,-0.00757609101389995,0.0014991707699593267,7.561578327549885e-05,-5.4362962082837556e-05,-3.875383840535257e-05,0.0001547692211088908,0.9999999857946449,-0.002016223435153044,0.008501868404901232,0.0011621061137894364,0.0,0.0,0.0
1624165696287872314,16,1624165696287872314,-0.007010248967722275,0.0018371290651569441,-0.00017010060010065758,-5.219842613314557e-05,-3.041514040375222e-05,0.00023388868606960046,0.9999999708231593,0.0013423228196741445,0.007673747247123237,-0.0009758455753305993,0.0,0.0,0.0
1624165696387675047,17,1624165696387675047,-0.006417911067070142,0.0005155398391079246,-0.0004133650587818812,-6.2811222489827e-05,-2.9207124549653397e-05,0.00041744635939929063,0.9999999104701083,0.0035898511019273457,0.0003483865909539958,-0.001353244202744974,0.0,0.0,0.0
1624165696487627268,18,1624165696487627268,-0.006467902765351908,-4.0464106024712316e-05,-0.00024581765771030615,-4.688756123589672e-05,-2.146832090124372e-05,0.00022483023788944252,0.9999999733960123,0.0017538410259732894,-0.0014882239519953364,0.0015092484024538803,0.0,0.0,0.0
